['1390 WILLOUGHBY AVENUE', 'BROOKLYN', {u'lat': 40.70722629999999, u'lng': -73.91979429999999}]
['4211 14 AVENUE', 'BROOKLYN', {u'lat': 40.6372942, u'lng': -73.9861475}]
['76 LOTT AVENUE', 'BROOKLYN', {u'lat': 40.6574242, u'lng': -73.9110918}]
['800 VAN SICLEN AVE', 'BROOKLYN', {u'lat': 40.660494, u'lng': -73.88567189999999}]
['1025 EASTERN PARKWAY', 'BROOKLYN', {u'lat': 40.6690343, u'lng': -73.9343392}]
['4305 7 AVENUE', 'BROOKLYN', {u'lat': 40.6457849, u'lng': -74.001648}]
['7109 6 AVENUE', 'BROOKLYN', {u'lat': 40.63037, u'lng': -74.01870699999999}]
['528 RIDGEWOOD AVENUE', 'BROOKLYN', {u'lat': 40.685841, u'lng': -73.869429}]
['825 4 AVENUE', 'BROOKLYN', {u'lat': 40.6575977, u'lng': -74.0000943}]
['574 DUMONT AVENUE', 'BROOKLYN', {u'lat': 40.6658254, u'lng': -73.8975063}]
['1225 69 STREET', 'BROOKLYN', {u'lat': 40.6246476, u'lng': -74.0054279}]
['346 AVENUE P', 'BROOKLYN', {u'lat': 40.608167, u'lng': -73.974424}]
['2163 DEAN STREET', 'BROOKLYN', {u'lat': 40.6750086, u'lng': -73.91554359999999}]
['202 AVENUE C', 'BROOKLYN', {u'lat': 40.640134, u'lng': -73.977256}]
['5601 16 AVENUE', 'BROOKLYN', {u'lat': 40.6266652, u'lng': -73.989612}]
['1023 NEW YORK AVENUE', 'BROOKLYN', {u'lat': 40.647884, u'lng': -73.94601089999999}]
['273 NEWPORT STREET', 'BROOKLYN', {u'lat': 40.660369, u'lng': -73.905005}]
['8601 RIDGE BOULEVARD', 'BROOKLYN', {u'lat': 40.623584, u'lng': -74.03342}]
['7601 19 AVENUE', 'BROOKLYN', {u'lat': 40.610915, u'lng': -73.99424599999999}]
['1171 65 STREET', 'BROOKLYN', {u'lat': 40.6275072, u'lng': -74.00401630000002}]
['3314 NEPTUNE AVENUE', 'BROOKLYN', {u'lat': 40.5771765, u'lng': -74.0005927}]
['1100 EAST NEW YORK AVENUE', 'BROOKLYN', {u'lat': 40.6655107, u'lng': -73.9263612}]
['590 SHEFFIELD AVENUE', 'BROOKLYN', {u'lat': 40.6623466, u'lng': -73.89445719999999}]
['1600 PARK PLACE', 'BROOKLYN', {u'lat': 40.6717963, u'lng': -73.92397640000002}]
['4715 18 AVENUE', 'BROOKLYN', {u'lat': 40.6290084, u'lng': -73.9798382}]
['2515 AVENUE L', 'BROOKLYN', {u'lat': 40.622063, u'lng': -73.950327}]
['3117 AVENUE W', 'BROOKLYN', {u'lat': 40.5967651, u'lng': -73.9334314}]
['131 IRWIN STREET', 'BROOKLYN', {u'lat': 40.5795278, u'lng': -73.9438116}]
['207 BUSHWICK AVENUE', 'BROOKLYN', {u'lat': 40.7088042, u'lng': -73.93971979999999}]
['1599 EAST  22 STREET', 'BROOKLYN', {u'lat': 40.6111184, u'lng': -73.9516203}]
['4105 FARRAGUT ROAD', 'BROOKLYN', {u'lat': 40.6369349, u'lng': -73.93746469999999}]
['1100 ELM AVENUE', 'BROOKLYN', {u'lat': 40.6166128, u'lng': -73.96354699999999}]
['1940 BENSON AVENUE', 'BROOKLYN', {u'lat': 40.6031664, u'lng': -74.0013907}]
['241 EMERSON PLACE', 'BROOKLYN', {u'lat': 40.6896647, u'lng': -73.9611647}]
['8010 12 AVENUE', 'BROOKLYN', {u'lat': 40.619031, u'lng': -74.01374600000001}]
['982 HEGEMAN AVENUE', 'BROOKLYN', {u'lat': 40.6664086, u'lng': -73.87656989999999}]
['5101 AVENUE M', 'BROOKLYN', {u'lat': 40.62141769999999, u'lng': -73.9261416}]
['8101 15 AVENUE', 'BROOKLYN', {u'lat': 40.613528, u'lng': -74.006117}]
['6701 20 AVENUE', 'BROOKLYN', {u'lat': 40.614745, u'lng': -73.98679299999999}]
['2200 GRAVESEND NECK ROAD', 'BROOKLYN', {u'lat': 40.597334, u'lng': -73.949034}]
['4011 FILLMORE AVENUE', 'BROOKLYN', {u'lat': 40.613513, u'lng': -73.9298869}]
['4801 AVENUE D', 'BROOKLYN', {u'lat': 40.642701, u'lng': -73.9309}]
['2609 EAST  7 STREET', 'BROOKLYN', {u'lat': 40.5868934, u'lng': -73.96192289999999}]
['1001 EAST 100 STREET', 'BROOKLYN', {u'lat': 40.6435042, u'lng': -73.8964704}]
['87 BAY  49 STREET', 'BROOKLYN', {u'lat': 40.5877534, u'lng': -73.9857901}]
['580 HEGEMAN AVENUE', 'BROOKLYN', {u'lat': 40.66051179999999, u'lng': -73.8902658}]
['2944 PITKIN AVENUE', 'BROOKLYN', {u'lat': 40.6765096, u'lng': -73.8631205}]
['415 AVENUE S', 'BROOKLYN', {u'lat': 40.6020958, u'lng': -73.9700169}]
['350 AVENUE X', 'BROOKLYN', {u'lat': 40.5905453, u'lng': -73.9701106}]
['1100 NEWKIRK AVENUE', 'BROOKLYN', {u'lat': 40.6337561, u'lng': -73.9663748}]
['370 FOUNTAIN AVENUE', 'BROOKLYN', {u'lat': 40.670026, u'lng': -73.874515}]
['1060 CLARKSON AVENUE', 'BROOKLYN', {u'lat': 40.658823, u'lng': -73.92228899999999}]
['4812 9 AVENUE', 'BROOKLYN', {u'lat': 40.64084270000001, u'lng': -74.00043749999999}]
['791 EMPIRE BOULEVARD', 'BROOKLYN', {u'lat': 40.6637059, u'lng': -73.9360465}]
['3301 QUENTIN ROAD', 'BROOKLYN', {u'lat': 40.6132552, u'lng': -73.9389747}]
['4200 16 AVENUE', 'BROOKLYN', {u'lat': 40.6349581, u'lng': -73.9814523}]
['757 WORTMAN AVENUE', 'BROOKLYN', {u'lat': 40.6648262, u'lng': -73.8656925}]
['1075 OCEAN VIEW AVENUE', 'BROOKLYN', {u'lat': 40.5797915, u'lng': -73.9564352}]
['6006 23 AVENUE', 'BROOKLYN', {u'lat': 40.6152859, u'lng': -73.97632229999999}]
['6500 16 AVENUE', 'BROOKLYN', {u'lat': 40.6218446, u'lng': -73.9955288}]
['228 AVENUE S', 'BROOKLYN', {u'lat': 40.6013021, u'lng': -73.9770054}]
